TxnHash,Ts,Dt,Action,Buyer,NFT,TokenID,TType,Quantity,Price,Market
0x255792cdf69470ffa7119ddd85cdd00cfbe74c6fa3472688391146ac385417ce,1580238802,2020-01-28 19:13:22,Bought,0x98130f15a7d858efd5eea910973b55a869e7f43c,Sandbox's LANDs,96465,ERC721,1,0.24 ETH ($42.196799999999996),Opensea
0x9be8e58fec68afeb874217bf1cb6c9438ff3eeb69332c1d89145597d47ee75c5,1580239007,2020-01-28 19:16:47,Bought,0x98130f15a7d858efd5eea910973b55a869e7f43c,Sandbox's LANDs,96466,ERC721,1,0.24 ETH ($42.196799999999996),Opensea
0x89cbe90f9d2418c495bc35acba9990659909bc36531c7e2743f7c9919745cb2a,1580239086,2020-01-28 19:18:06,Bought,0x98130f15a7d858efd5eea910973b55a869e7f43c,Sandbox's LANDs,96467,ERC721,1,0.24 ETH ($42.196799999999996),Opensea
0x9764ad7afffe94458901fc8a23579ed219fce060a7559526191aad1572b94204,1580239250,2020-01-28 19:20:50,Bought,0x98130f15a7d858efd5eea910973b55a869e7f43c,Sandbox's LANDs,96468,ERC721,1,0.24 ETH ($42.196799999999996),Opensea
0x8ad241d36c6c0da9f9f651c6950638602c684fbeeaf1505d06102ddd4cdc502b,1580406046,2020-01-30 17:40:46,Bought,0x3ac753ed33239486188c384ca792ea90f2fafaa1,Sandbox's LANDs,100560,ERC721,1,0.27 ETH ($49.7934),Opensea
0xd74cd140b190819aa27eba52276ea9708d2f8d493504ca57e4455ba2d0dd340a,1580475945,2020-01-31 13:05:45,Bought,0x672817a6f2a7565c4dd7ff5294446d058225cc85,Sandbox's LANDs,92786,ERC721,1,0.24 ETH ($43.116),Opensea
0x5c53a22dac67c67cc9a674695d326ff3ca61999cbdca6db4daa62b138b683e4d,1580502063,2020-01-31 20:21:03,Bought,0xc454e2b4ebb3c74b2caf83e74067a8055b375e4e,Sandbox's LANDs,88723,ERC721,1,0.35 ETH ($62.8775),Opensea
0x5c43f22ef5e9fe99b06b4d9bebf85e888805a062906ad7d8b028acc7f317fb36,1580512711,2020-01-31 23:18:31,Bought,0x5ab5844dd55ab73212d1527e4cf72fea884e39dd,Sandbox's LANDs,89129,ERC721,1,0.375 ETH ($67.36875),Opensea
0x11fa6309700dff583b78afd058c4966d8994e03d8986d55d87d9432908aa2e31,1580514575,2020-01-31 23:49:35,Bought,0x4f809effb315a91093169e17e6e1bf8f27889240,Sandbox's LANDs,95255,ERC721,1,0.25 ETH ($44.9125),Opensea
0xe98bcfed5c0a8fb0430a3e6f80c783b62f79667d61ed06295d97001fcb73a847,1580924843,2020-02-05 17:47:23,Bought,0xb78e3e8bd36b3228322d0a9d3271b5fbb7997fa3,Sandbox's LANDs,97289,ERC721,1,0.22 ETH ($44.8492),Opensea
0xfdec3bbd4af60ea1651aa2b86c967c6fc296f34379670a46b8c9bc9a2411a579,1580940636,2020-02-05 22:10:36,Bought,0xf8258c44c92cd8c6fc59f8cb8366b07c89579ca4,Sandbox's LANDs,105431,ERC721,1,0.000999646922805326 ETH ($0.20378802168309376),Opensea
0xc439fb202e4a50a120d7f804a35cef7e8bdf44b3ac63bd7d15cfca6a0d202859,1580942226,2020-02-05 22:37:06,Bought,0xf8258c44c92cd8c6fc59f8cb8366b07c89579ca4,Sandbox's LANDs,107056,ERC721,1,0.001 ETH ($0.20386),Opensea
0xdeb57c94afbf513a221c48fe1849415d80a10ece5e797fb8f98f26247249e2f5,1580943220,2020-02-05 22:53:40,Bought,0x471c8f11ab702a13d20222eac546d90ca0abf665,Sandbox's LANDs,87911,ERC721,1,0.001 ETH ($0.20386),Opensea
0xafcc161e0f8c39c11bea0d492b3046293109c9016cd0f5771558f45a17d62c1d,1580943549,2020-02-05 22:59:09,Bought,0xfc28b6dc92ba0b06aa895b14e37f59a28bed34c7,Sandbox's LANDs,87911,ERC721,1,0.001 ETH ($0.20386),Opensea
0x79dd59b1dc80a6facde879cda9a5eb2be24e696596eb21093ed347a9a9a17dfc,1580985410,2020-02-06 10:36:50,Bought,0x442dccee68425828c106a3662014b4f131e3bd9b,Sandbox's LANDs,93596,ERC721,1,0.20833333333333334 ETH ($44.34791666666667),Opensea
0x79dd59b1dc80a6facde879cda9a5eb2be24e696596eb21093ed347a9a9a17dfc,1580985410,2020-02-06 10:36:50,Bought,0x442dccee68425828c106a3662014b4f131e3bd9b,Sandbox's LANDs,94004,ERC721,1,0.20833333333333334 ETH ($44.34791666666667),Opensea
0x79dd59b1dc80a6facde879cda9a5eb2be24e696596eb21093ed347a9a9a17dfc,1580985410,2020-02-06 10:36:50,Bought,0x442dccee68425828c106a3662014b4f131e3bd9b,Sandbox's LANDs,94005,ERC721,1,0.20833333333333334 ETH ($44.34791666666667),Opensea
0x79dd59b1dc80a6facde879cda9a5eb2be24e696596eb21093ed347a9a9a17dfc,1580985410,2020-02-06 10:36:50,Bought,0x442dccee68425828c106a3662014b4f131e3bd9b,Sandbox's LANDs,94412,ERC721,1,0.20833333333333334 ETH ($44.34791666666667),Opensea
0x79dd59b1dc80a6facde879cda9a5eb2be24e696596eb21093ed347a9a9a17dfc,1580985410,2020-02-06 10:36:50,Bought,0x442dccee68425828c106a3662014b4f131e3bd9b,Sandbox's LANDs,94820,ERC721,1,0.20833333333333334 ETH ($44.34791666666667),Opensea
0x79dd59b1dc80a6facde879cda9a5eb2be24e696596eb21093ed347a9a9a17dfc,1580985410,2020-02-06 10:36:50,Bought,0x442dccee68425828c106a3662014b4f131e3bd9b,Sandbox's LANDs,95228,ERC721,1,0.20833333333333334 ETH ($44.34791666666667),Opensea
0x08470f89b287c2c6695a4861993ea8161bdb0742c9075ad2fbdd6cf56954da33,1580985706,2020-02-06 10:41:46,Bought,0x442dccee68425828c106a3662014b4f131e3bd9b,Sandbox's LANDs,94419,ERC721,1,0.2 ETH ($42.574000000000005),Opensea
0x08470f89b287c2c6695a4861993ea8161bdb0742c9075ad2fbdd6cf56954da33,1580985706,2020-02-06 10:41:46,Bought,0x442dccee68425828c106a3662014b4f131e3bd9b,Sandbox's LANDs,94420,ERC721,1,0.2 ETH ($42.574000000000005),Opensea
0x08470f89b287c2c6695a4861993ea8161bdb0742c9075ad2fbdd6cf56954da33,1580985706,2020-02-06 10:41:46,Bought,0x442dccee68425828c106a3662014b4f131e3bd9b,Sandbox's LANDs,94824,ERC721,1,0.2 ETH ($42.574000000000005),Opensea
0x08470f89b287c2c6695a4861993ea8161bdb0742c9075ad2fbdd6cf56954da33,1580985706,2020-02-06 10:41:46,Bought,0x442dccee68425828c106a3662014b4f131e3bd9b,Sandbox's LANDs,94825,ERC721,1,0.2 ETH ($42.574000000000005),Opensea
0x08470f89b287c2c6695a4861993ea8161bdb0742c9075ad2fbdd6cf56954da33,1580985706,2020-02-06 10:41:46,Bought,0x442dccee68425828c106a3662014b4f131e3bd9b,Sandbox's LANDs,94827,ERC721,1,0.2 ETH ($42.574000000000005),Opensea
0x08470f89b287c2c6695a4861993ea8161bdb0742c9075ad2fbdd6cf56954da33,1580985706,2020-02-06 10:41:46,Bought,0x442dccee68425828c106a3662014b4f131e3bd9b,Sandbox's LANDs,95232,ERC721,1,0.2 ETH ($42.574000000000005),Opensea
0x08470f89b287c2c6695a4861993ea8161bdb0742c9075ad2fbdd6cf56954da33,1580985706,2020-02-06 10:41:46,Bought,0x442dccee68425828c106a3662014b4f131e3bd9b,Sandbox's LANDs,95233,ERC721,1,0.2 ETH ($42.574000000000005),Opensea
0x08470f89b287c2c6695a4861993ea8161bdb0742c9075ad2fbdd6cf56954da33,1580985706,2020-02-06 10:41:46,Bought,0x442dccee68425828c106a3662014b4f131e3bd9b,Sandbox's LANDs,95234,ERC721,1,0.2 ETH ($42.574000000000005),Opensea
0x08470f89b287c2c6695a4861993ea8161bdb0742c9075ad2fbdd6cf56954da33,1580985706,2020-02-06 10:41:46,Bought,0x442dccee68425828c106a3662014b4f131e3bd9b,Sandbox's LANDs,95235,ERC721,1,0.2 ETH ($42.574000000000005),Opensea
0x26ef1aba47d48a93b24af7c651f4aced724a2ed8e49ceceb3e572e86f947e0c0,1581279938,2020-02-09 20:25:38,Bought,0x94aff6c2c005567aa0e2a27f77701bb1b6679b6b,Sandbox's LANDs,96879,ERC721,1,0.19 ETH ($43.4435),Opensea
0xf3224004a0066ef06152acc3fb3b1c92a0bd7fc640e2d04f6e0286751775539a,1581279988,2020-02-09 20:26:28,Bought,0x94aff6c2c005567aa0e2a27f77701bb1b6679b6b,Sandbox's LANDs,97286,ERC721,1,0.19 ETH ($43.4435),Opensea
0x032198c48b1cec144e8a75145c88fc6d1a8a7175ab78126b85a240e3ded764a9,1581280080,2020-02-09 20:28:00,Bought,0x94aff6c2c005567aa0e2a27f77701bb1b6679b6b,Sandbox's LANDs,97287,ERC721,1,0.19 ETH ($43.4435),Opensea
0x3e5eef988850d7bc31ddb97a85f3701b86ab599321abf352854a207e96810434,1581280161,2020-02-09 20:29:21,Bought,0x94aff6c2c005567aa0e2a27f77701bb1b6679b6b,Sandbox's LANDs,96878,ERC721,1,0.19 ETH ($43.4435),Opensea
0xfa5436594addacb0f869c2daa8aad0831bf3fc411ac3b84f8210a5c34315e77b,1581280263,2020-02-09 20:31:03,Bought,0x94aff6c2c005567aa0e2a27f77701bb1b6679b6b,Sandbox's LANDs,94030,ERC721,1,0.19 ETH ($43.4435),Opensea
0x13a494f048c0d095a518eb8be3943006f838ad4d986a5cfed46e14757d01ccc7,1581281448,2020-02-09 20:50:48,Bought,0x3ac753ed33239486188c384ca792ea90f2fafaa1,Sandbox's LANDs,107470,ERC721,1,0.19 ETH ($43.4435),Opensea
0xb10266ea16834a2c87d13dca03b79b84e3053871748f52ddfc6e7ef3c7422355,1581281686,2020-02-09 20:54:46,Bought,0x3ac753ed33239486188c384ca792ea90f2fafaa1,Sandbox's LANDs,107063,ERC721,1,0.2 ETH ($45.730000000000004),Opensea
0x08b527ca0d9314bd22610122cd041cbefda7684a3b10ea6f02ba35b1796da40d,1581282890,2020-02-09 21:14:50,Bought,0x3ac753ed33239486188c384ca792ea90f2fafaa1,Sandbox's LANDs,100153,ERC721,1,0.19 ETH ($43.4435),Opensea
0x5f3991331e517b00c42a70123e1e45d5dafa23c5152a004bbb54e157d1bc4198,1581284885,2020-02-09 21:48:05,Bought,0xc454e2b4ebb3c74b2caf83e74067a8055b375e4e,Sandbox's LANDs,87091,ERC721,1,1 ETH ($228.65),Opensea
0x22fc0571b40bc1a22eaec174e304e5eb92761025f22cf3e752b714016ebc8b76,1581288444,2020-02-09 22:47:24,Bought,0xc454e2b4ebb3c74b2caf83e74067a8055b375e4e,Sandbox's LANDs,89945,ERC721,1,0.4 ETH ($91.46000000000001),Opensea
0x635442dbbed427dec567d79b7368deb135255181e780158cc94f3bc652a876af,1581294223,2020-02-10 00:23:43,Bought,0xf0c6494e3165986111bd8ab9efa66c48d9f18bde,Sandbox's LANDs,97284,ERC721,1,0.19 ETH ($42.4061),Opensea
0xb60f93472506d4bdf0168b8dc67c8ee6e3691e3b428c5d7083588ac0fdb428b0,1581294398,2020-02-10 00:26:38,Bought,0xf0c6494e3165986111bd8ab9efa66c48d9f18bde,Sandbox's LANDs,96876,ERC721,1,0.19 ETH ($42.4061),Opensea
